ycomURL,company_name,company_tagline,company_description,URL,founded,team_size,location,founder_name_1,founder_linkedin_1,founder_name_2,founder_linkedin_2,founder_name_3,founder_linkedin_3
https://www.ycombinator.com/companies/electroneek,ElectroNeek,Automaticaly find and automate routine work with software bots (RPA),"ElectroNeek is an end-to-end intelligent automation platform that lets business users with no prior IT skills analyze employee productivity, discover automation opportunities and build software robots to automate repetitive tasks. ",https://electroneek.com,2019,45,San Francisco,Dmitry Karpov,http://linkedin.com/in/dmitrykarpov,NA,NA,NA,NA
https://www.ycombinator.com/companies/raycast,Raycast,Speed up non-coding tasks for engineering teams,"Raycast is a productivity tool that saves engineering teams time on non-coding tasks in apps like Jira, GitHub or Slack which might take up to 50% of a developer's day.",https://raycast.com,2020,12,"London, United Kingdom",Thomas Mann,https://www.linkedin.com/in/thomas-paul-mann-5183101a4/,Petr Nikolaev,https://www.linkedin.com/in/petr-nikolaev-9487067a,NA,NA
https://www.ycombinator.com/companies/pahamify,Pahamify,College entrance test preparation App for students in Indonesia,"Pahamify is an online learning platform for K-12 students in Indonesia. We provide high quality educational videos which can be used to learn various concepts ranging from math, science, social sciences, and language based on the local curriculum. We also provide thousands of practice questions and modules which can be used for college entry test preparation.",https://pahamify.com/,2018,40,Indonesia,Edria Albert,https://www.linkedin.com/in/edria-albert-38223341/,NA,NA,NA,NA
https://www.ycombinator.com/companies/zumo-labs,Zumo Labs,We generate synthetic data for computer vision models.,"At Zumo Labs, we generate synthetic training data for computer vision models.

Computer vision is the essential technology that powers the products of the future: autonomous vehicles, smart retail, robotics, smart fitness, security and vision-based analytics. These algorithms require huge amounts of training data. This data is currently collected and labeled manually; a slow, imprecise, expensive process that is rife with bias and privacy issues. 

Zumo Labs solves all of these problems (and more!) by creating feature rich synthetic training data in the cloud: cheaper, faster to generate and iterate on, covers all the edge cases, and has no bias or privacy issues. 
",https://zumolabs.ai/,2020,6,San Francisco,Norman  Ponte,https://www.linkedin.com/in/norman-ponte-476279104/,NA,NA,NA,NA
https://www.ycombinator.com/companies/edurev,EduRev,Learning App for 400M Indian Students like a Netflix for Education,"EduRev is like a Netflix for Education with a layer of social networking. We want to make the process of education and learning so good that you (and your kids) don’t feel the need to go to a school/college/coaching. EduRev stands for Education Revolution and we are looking to achieve nothing less. 

EduRev has over 7 million students and adds around 10 new users each minute. We are backed by the iconic American VC Y Combinator, Artiman Ventures and even angel investors like Anand Chandrashekaran, Austen Allred, Martin Basiri to name a few. 

We won the Best App award (for learning) by Google, mBillionth award by Bill and Melinda Gates, and even won Startup of the Year by TieCon.

Android App: https://play.google.com/store/apps/details?id=com.edurev
Website: http://edurev.in/
iOS App (beta): https://apps.apple.com/in/app/edurev/id1529835494",http://edurev.in,,24,"Chandigarh, India",Kunaal Satija,https://in.linkedin.com/in/kunaalsatija,Hardik Dhamija,https://www.linkedin.com/in/hardik-dhamija-25bb4044/,NA,NA
https://www.ycombinator.com/companies/stayqrious,StayQrious,"StayQrious helps kids in India learn through online group classes,…","Imagine doing personalised workouts with a fitness coach, but for school subjects. Students log into their session that has been scheduled with their coach, they can see their learning workout for the day. Their workout typically consists of watching an interactive video, writing explanations, giving feedback to other students, making an explainer video etc. They get constant feedback and encouragement from the coach and progress only after they have understood the pre-requisites.",https://StayQrious.com,,29,"Bengaluru, India",Shankar Ram A,https://www.linkedin.com/in/shankar-ram-a-79613454/,NA,NA,NA,NA
https://www.ycombinator.com/companies/deepsource,DeepSource,DeepSource finds and automatically fixes bugs during code reviews.,"DeepSource continuously analyzes source code changes to find and fix issues categorized as security, performance, anti-patterns and bug-risks. DeepSource integrates with GitHub/GitLab/Bitbucket and runs analysis on every commit and pull request, discovers and fixes potential issues before they make it to production.",https://deepsource.io/,2018,32,San Francisco,Jai Pradeesh,https://www.linkedin.com/in/jaipradeesh/,Sanket Saurav,https://in.linkedin.com/in/sanketsaurav,NA,NA
https://www.ycombinator.com/companies/recurrency,Recurrency,Automated ERP for distribution.,"We help ambitious distributors conquer their markets by driving revenue, margin, and customer loyalty through sales workflow enhancement — without the cost, hassle, and timeline of traditional IT projects.",http://www.recurrency.ai,2019,12,"Los Angeles, CA",Sam Oshay,https://www.linkedin.com/in/soshay/,NA,NA,NA,NA
https://www.ycombinator.com/companies/snapboard,Snapboard,,,https://snapboard.io,,2,"London, United Kingdom",Calum Moore,https://uk.linkedin.com/in/calummoore,NA,NA,NA,NA
https://www.ycombinator.com/companies/laserfocus,Laserfocus,Laserfocus is an enjoyable Salesforce interface.,"Laserfocus is an interface on top of Salesforce that improves all the little things that are annoying in Salesforce:
Faster Data entry, better task management and own workflows help sales reps save hours per week.",https://www.laserfocus.io/,2019,2,"Berlin, Germany",Daniel Dinh,https://www.linkedin.com/in/longdanieldinh/,NA,NA,NA,NA
